employer code,employer,employees
1,Walmart,1387139
2,Target,305538
6,Kroger/QFC,268544
7,Home Depot,345139
8,Lowe's,244806
9,Walgreens,202074
10,McDonald's,670760
12,Safeway,126000
17,CVS,191712
21,Costco,126439
36,Publix,169199
37,Starbucks,225529
38,Subway,213506
39,Taco Bell,162469
40,Wendy's,160140
41,Burger King,191698
42,Pizza Hut,186028
43,Marshalls,136314
45,Gap,126646
50,Dollar General,119904
55,Kohls,135334
56,Dunkin Donuts,117818
57,Victoria's Secret,44378
58,Albertsons,131158
60,Arby's,68607
63,Chipotle,54508
65,Domino's,105168
67,GameStop,26562
69,IHOP,74242
71,Jimmy John's,49382
77,Panera,72031
78,Papa John's,67477
83,Rite Aid,33457
88,Whole Foods,82108
90,Ace Hardware,38464
92,Aldi,20945
105,Chick-Fil-A,111163
132,Olive Garden,101285
141,Sonic,98377
144,Stop & Shop,55356
147,Wegmans,60839
151,Ross,58509
152,Red Lobster,61951
153,Price Chopper,12905
155,Amazon,
156,Applebees,112137
163,Food Lion,64124
167,HEB,62782
168,Hannaford,23767
171,Meijer,88167
175,Express,18759
182,Cracker Barrel,77315
190,Big Lots,
198,Waffle House,42473
217,LongHorn Steakhouse,
221,In-N-Out Burgers,21017
224,Michaels,43193
241,Bath & Body Works,32012
246,UPS,
247,Marriott,263023
248,Fedex,
252,Wyndham,105794
253,Best Western,41725
254,DHL,
271,Tractor Supply Co.,
273,Speedway,